bbox_area,solidity,equivalent_diameter,orientation,convex_area,area,extent,eccentricity,major_axis_length,feret_diameter_max,perimeter,minor_axis_length,label,target
9855,0.7753859226738422,83.49243383340203,0.3394125647233975,7061,5475,0.5555555555555556,0.9020832159690828,135.14762988830452,146.93195704134618,392.1492782986674,58.32459892772182,27,1780
18081,0.918288334182374,107.12473111610606,-0.6634016886782396,9815,9013,0.4984790664233173,0.8798037670243356,162.47383011684548,171.67993476233616,441.7300141024109,77.22983460100934,21,2126
6300,0.8121356078600734,69.20010063395101,0.0749871167280415,4631,3761,0.596984126984127,0.8269286355396687,94.76676064100036,101.27191120937732,294.3086578651014,53.28800187697615,18,1515
14592,0.919951073661321,92.83619164050364,-0.7547423087093499,7358,6769,0.4638843201754385,0.916613969709857,152.46982321722336,162.74212730574712,394.75945135393385,60.95339091128291,24,1172
9483,0.7668459348307498,78.56631156466536,-1.0027206943247238,6322,4848,0.5112306232204998,0.7332215393120569,102.01709750962206,122.4499897917513,357.4629867976521,69.37058919664224,19,1280
11152,0.8885477843032568,92.0649534258394,-0.3516260669765903,7492,6657,0.5969332855093257,0.9030592165929716,142.39751966830502,146.32839779072276,387.01933598375615,61.162022518145776,5,1871
9191,0.7401952085181899,72.87442720934665,-1.186058213548417,5635,4171,0.4538135132194538,0.6447066336646446,97.29557501943567,109.65856099730654,341.8061325481598,74.37566478759832,35,1401
9180,0.7631800572679804,75.95425187041883,-0.0786948870481319,5937,4531,0.4935729847494553,0.6576831615440845,97.57753767828744,105.34229919647665,347.32085117392114,73.5046389910841,11,1690
9452,0.9108465224335704,89.3701944952772,0.1915249366182988,6887,6273,0.6636690647482014,0.8784334085072566,131.9967080710034,144.10065926289164,365.2619766708754,63.07657770478184,34,1642
6873,0.949812734082397,80.36087960504629,1.3065485138946864,5340,5072,0.7379601338571221,0.4797389115135904,86.63787633167968,94.87360012142472,282.9360748630709,76.01705107993557,10,1573
10080,0.8505066250974279,83.3474352099394,-0.3041604675954506,6415,5456,0.5412698412698412,0.8606590537247499,120.20628495065012,130.50670480860362,345.8061325481598,61.20683929740895,8,1456
9604,0.6412759281854628,68.44156840021029,-0.9906244148962798,5737,3679,0.3830695543523532,0.7060646406960668,100.8352156942001,110.80162453682708,347.6639969244288,71.40619461422314,28,1268
6222,0.9187271554504408,73.76010150923973,-0.0168890966635294,4651,4273,0.6867566698810672,0.7890870722460694,96.0312438958187,103.40696301506972,280.69343417595167,58.990203350652806,32,1733
13433,0.8143111903700401,96.4483701979204,-1.3004811687130409,8972,7306,0.5438844636343334,0.8421129252526869,138.4749500521199,140.73023839957068,416.333044482741,74.67971145768621,23,1680
8510,0.9195914577530176,79.40454788945357,-0.3514981226370526,5385,4952,0.5819036427732079,0.8681608952899931,117.61647318783902,125.00399993600205,320.8355697996826,58.37103765381912,4,1575
10080,0.90869939707149,89.77531018143897,0.1116865690380461,6966,6330,0.6279761904761905,0.8667341691932191,129.8084174139379,140.51334456200237,362.8772003600252,64.74459211759304,20,2175
6600,0.8448415922014623,72.77826946347568,-0.0644788916462427,4924,4160,0.6303030303030303,0.8824142541619437,113.27283033422904,110.65260954898444,306.35028842544403,53.29183723633619,16,1766
4760,0.8818640546156129,61.50442819349001,0.2259914175162895,3369,2971,0.6241596638655462,0.8308585378278782,86.30999064984742,86.68333173107735,242.06601717798213,48.03010152873482,26,1504
3528,0.9521373766898064,57.60262366923779,0.0816476983245901,2737,2606,0.7386621315192744,0.5331888860744828,63.1297186926902,65.92419889539804,199.6812408671319,53.40750366397212,3,1275
9306,0.895096921322691,77.44003006005754,-0.719946889943121,5262,4710,0.5061250805931657,0.8477741832534943,111.68996239899306,120.6731121667126,319.7056274847714,59.23559411266841,33,1603
12625,0.8648648648648649,89.36307080992091,-0.8640182040393922,7252,6272,0.4967920792079208,0.8886276656669762,137.37469478848644,152.86922515666782,393.445742854949,63.00406564883817,2,1168
6256,0.9169503063308372,71.72977763993691,0.4458975773795237,4407,4041,0.6459398976982097,0.7243058344590125,88.70557717570223,95.0789145920377,267.5218613006979,61.16061763958496,14,1443
6636,0.8396111786148238,66.32527894445667,0.6108653490867417,4115,3455,0.5206449668474985,0.8059554448736698,89.64268603899495,100.9554357129917,276.6934341759516,53.06633660221189,7,1520
3828,0.9199192462987889,59.00031284074632,0.1025431357017636,2972,2734,0.7142110762800418,0.8637586939047125,84.59192539964712,87.82368700982668,233.96551211459385,42.62635037890678,30,1179
